"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 13 18:54:28 GMT 2025","Sun Jul 13 18:54:29 GMT 2025","924","","api.tests.cart.CartApiExtendedTests","","api.tests.cart.CartApiExtendedTests","editItemQuantityTest","Add items in bag, edit them and check that they were edited",""
"passed","Sun Jul 13 18:54:32 GMT 2025","Sun Jul 13 18:54:33 GMT 2025","228","","api.tests.cart.CartApiSmokeTests","","api.tests.cart.CartApiSmokeTests","getProductDetailsByIdSmokeTest","Smoke test: get product details by id",""
"passed","Sun Jul 13 18:55:58 GMT 2025","Sun Jul 13 18:56:04 GMT 2025","5667","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkAccountButton","Check account button on homepage",""
"passed","Sun Jul 13 18:55:54 GMT 2025","Sun Jul 13 18:55:58 GMT 2025","4071","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","isSvgLogoDisplayed","Check if svg logo is displayed on homepage",""
"passed","Sun Jul 13 18:54:32 GMT 2025","Sun Jul 13 18:54:32 GMT 2025","318","","api.tests.cart.CartApiSmokeTests","","api.tests.cart.CartApiSmokeTests","getCartInventorySmokeTest","Smoke test: get cart inventory",""
"passed","Sun Jul 13 18:54:31 GMT 2025","Sun Jul 13 18:54:32 GMT 2025","552","","api.tests.cart.CartApiSmokeTests","","api.tests.cart.CartApiSmokeTests","editItemsInCartSmokeTest","Smoke test: edit items in cart",""
"broken","Sun Jul 13 18:55:10 GMT 2025","Sun Jul 13 18:55:16 GMT 2025","5914","","ui.tests.CartGuestTests","","ui.tests.CartGuestTests","addItemToCart","Add item to cart",""
"passed","Sun Jul 13 18:54:33 GMT 2025","Sun Jul 13 18:54:34 GMT 2025","801","","api.tests.cart.CartApiSmokeTests","","api.tests.cart.CartApiSmokeTests","deleteItemFromCartSmokeTest","Smoke test: delete item from cart",""
"passed","Sun Jul 13 18:54:31 GMT 2025","Sun Jul 13 18:54:31 GMT 2025","510","","api.tests.cart.CartApiExtendedTests","","api.tests.cart.CartApiExtendedTests","checkFreeShipping","open product details, add items in cart until free shipping is unlocked",""
"passed","Sun Jul 13 18:54:33 GMT 2025","Sun Jul 13 18:54:33 GMT 2025","133","","api.tests.cart.CartApiSmokeTests","","api.tests.cart.CartApiSmokeTests","checkTheBagSmokeTest","Smoke test: check the bag",""
"passed","Sun Jul 13 18:54:29 GMT 2025","Sun Jul 13 18:54:30 GMT 2025","989","","api.tests.cart.CartApiExtendedTests","","api.tests.cart.CartApiExtendedTests","checkThePricesInProductDetailsAndInCart","Clear the bag, get product details by product id, add an item in cart and check that the prices in cart and in product details are equal",""
"broken","Sun Jul 13 18:55:04 GMT 2025","Sun Jul 13 18:55:10 GMT 2025","5800","","ui.tests.CartGuestTests","","ui.tests.CartGuestTests","removeItemFromCart","Remove item from cart",""
"passed","Sun Jul 13 18:56:04 GMT 2025","Sun Jul 13 18:56:10 GMT 2025","5937","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkFavoritesLink","Check favorites button link on homepage",""
"passed","Sun Jul 13 18:56:20 GMT 2025","Sun Jul 13 18:56:30 GMT 2025","9803","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","openHomePageTest","Open homepage and check url and titles",""
"passed","Sun Jul 13 18:54:27 GMT 2025","Sun Jul 13 18:54:28 GMT 2025","1252","","api.tests.cart.CartApiExtendedTests","","api.tests.cart.CartApiExtendedTests","deleteItemTest","Add items in bag, delete them and check that they were deleted",""
"passed","Sun Jul 13 18:55:29 GMT 2025","Sun Jul 13 18:55:40 GMT 2025","10409","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkSignInButton","Check sign in button on homepage",""
"passed","Sun Jul 13 18:56:44 GMT 2025","Sun Jul 13 18:56:49 GMT 2025","5762","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkFavoritesSvg","Check favorites button svg on homepage",""
"broken","Sun Jul 13 18:54:34 GMT 2025","Sun Jul 13 18:54:41 GMT 2025","7203","","ui.tests.CartGuestTests","","ui.tests.CartGuestTests","changeItemQuantity","Change item quantity",""
"passed","Sun Jul 13 18:55:16 GMT 2025","Sun Jul 13 18:55:22 GMT 2025","5561","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkCartLink","Check cart button link on homepage",""
"broken","Sun Jul 13 18:55:50 GMT 2025","Sun Jul 13 18:55:54 GMT 2025","4293","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","openMenuAndFindSkirtsLink","Open menu and find skirts catalog link on homepage",""
"broken","Sun Jul 13 18:54:52 GMT 2025","Sun Jul 13 18:55:04 GMT 2025","12434","","ui.tests.CartGuestTests","","ui.tests.CartGuestTests","verifyPriceInCart","Verify price in cart",""
"passed","Sun Jul 13 18:56:10 GMT 2025","Sun Jul 13 18:56:15 GMT 2025","5838","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkCartSvg","Check cart button svg on homepage",""
"passed","Sun Jul 13 18:54:32 GMT 2025","Sun Jul 13 18:54:32 GMT 2025","185","","api.tests.cart.CartApiSmokeTests","","api.tests.cart.CartApiSmokeTests","addItemsToCartSmokeTest","Smoke test: add items to cart",""
"broken","Sun Jul 13 18:54:41 GMT 2025","Sun Jul 13 18:54:52 GMT 2025","10900","","ui.tests.CartGuestTests","","ui.tests.CartGuestTests","unlockFreeShipping","Unlock free shipping",""
"broken","Sun Jul 13 18:56:49 GMT 2025","Sun Jul 13 18:56:55 GMT 2025","5769","","ui.tests.WomenSkirtsSkortsPageSmokeTests","","ui.tests.WomenSkirtsSkortsPageSmokeTests","openWomenSkirtsSkortsPageTest","Open women skirts & skorts page from header on homepage and check url and titles",""
"passed","Sun Jul 13 18:55:40 GMT 2025","Sun Jul 13 18:55:50 GMT 2025","10009","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkCreateAccountButton","Check create account button on homepage",""
"passed","Sun Jul 13 18:56:35 GMT 2025","Sun Jul 13 18:56:44 GMT 2025","8399","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkSearchButtonClick","Click search button and check search input is displayed on homepage",""
"broken","Sun Jul 13 18:56:15 GMT 2025","Sun Jul 13 18:56:20 GMT 2025","4400","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","openWomenMenu","Open menu on homepage",""
"passed","Sun Jul 13 18:56:30 GMT 2025","Sun Jul 13 18:56:35 GMT 2025","5650","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkSearchButton","Check search button on homepage",""
"passed","Sun Jul 13 18:54:30 GMT 2025","Sun Jul 13 18:54:31 GMT 2025","640","","api.tests.cart.CartApiExtendedTests","","api.tests.cart.CartApiExtendedTests","addItemToCartTest","Check quantity of items in bag, add items and check that they were added",""
"passed","Sun Jul 13 18:55:22 GMT 2025","Sun Jul 13 18:55:29 GMT 2025","7587","","ui.tests.HomePageSmokeTests","","ui.tests.HomePageSmokeTests","checkCartIndicator","Check cart button number indicator on homepage",""
